"Run_ID","Output_Exists","Output_Size_Bytes","Output_Path"
"US02_C0_R1","True","586","runs/US02_C0_R1/output.md"
"US02_CD_R1","True","536","runs/US02_CD_R1/output.md"
"US02_CL_R1","True","807","runs/US02_CL_R1/output.md"
"US02_CO_R1","True","612","runs/US02_CO_R1/output.md"
"US02_CS_R1","True","967","runs/US02_CS_R1/output.md"
"US02_CT_R1","True","567","runs/US02_CT_R1/output.md"
"US08_C0_R1","True","860","runs/US08_C0_R1/output.md"
"US08_CD_R1","True","802","runs/US08_CD_R1/output.md"
"US08_CL_R1","True","972","runs/US08_CL_R1/output.md"
"US08_CO_R1","True","505","runs/US08_CO_R1/output.md"
"US08_CS_R1","True","733","runs/US08_CS_R1/output.md"
"US08_CT_R1","True","1302","runs/US08_CT_R1/output.md"
"US19_C0_R1","True","817","runs/US19_C0_R1/output.md"
"US19_CD_R1","True","775","runs/US19_CD_R1/output.md"
"US19_CL_R1","True","695","runs/US19_CL_R1/output.md"
"US19_CO_R1","True","702","runs/US19_CO_R1/output.md"
"US19_CS_R1","True","773","runs/US19_CS_R1/output.md"
"US19_CT_R1","True","617","runs/US19_CT_R1/output.md"
"US22_C0_R1","True","708","runs/US22_C0_R1/output.md"
"US22_CD_R1","True","579","runs/US22_CD_R1/output.md"
"US22_CL_R1","True","658","runs/US22_CL_R1/output.md"
"US22_CO_R1","True","526","runs/US22_CO_R1/output.md"
"US22_CS_R1","True","678","runs/US22_CS_R1/output.md"
"US22_CT_R1","True","642","runs/US22_CT_R1/output.md"
